country,GDP per capita
Scandinavia,60148.61938165681
Britain,44869.618603600014
Benelux,51745.90301959638
France,41463.644022703396
Iberia,29193.108619823513
Italy,34318.351124172405
Alps,66877.7916423274
Germany,48195.5799044116
Baltic,15998.184690265847
Walachei,15494.296422401781
Balkan,12842.518431078137
