name,Scandinavia hydro,Britain hydro,Benelux hydro,France hydro,Iberia hydro,Italy hydro,Alps hydro,Germany hydro,Baltic hydro,Walachei hydro,Balkan hydro
2015-11-20 18:00:00,23.42328333333333,0.10481625,0.01797354166666667,6.694583333333332,1.7215,4.394958333333333,4.956279166666667,0.9654666666666666,0.2858055833333333,0.5517704791666667,0.5992379583333333
2015-11-20 19:00:00,23.42328333333333,0.10481625,0.01797354166666667,6.694583333333332,1.7215,4.394958333333333,4.956279166666667,0.9654666666666666,0.2858055833333333,0.5517704791666667,0.5992379583333333
2015-11-20 20:00:00,23.42328333333333,0.10481625,0.01797354166666667,6.694583333333332,1.7215,4.394958333333333,4.956279166666667,0.9654666666666666,0.2858055833333333,0.5517704791666667,0.5992379583333333
2015-11-20 21:00:00,23.42328333333333,0.10481625,0.01797354166666667,6.694583333333332,1.7215,4.394958333333333,4.956279166666667,0.9654666666666666,0.2858055833333333,0.5517704791666667,0.5992379583333333
2015-11-20 22:00:00,23.42328333333333,0.10481625,0.01797354166666667,6.694583333333332,1.7215,4.394958333333333,4.956279166666667,0.9654666666666666,0.2858055833333333,0.5517704791666667,0.5992379583333333
2015-11-20 23:00:00,23.42328333333333,0.10481625,0.01797354166666667,6.694583333333332,1.7215,4.394958333333333,4.956279166666667,0.9654666666666666,0.2858055833333333,0.5517704791666667,0.5992379583333333
2015-11-21 00:00:00,23.13907916666667,0.10776291666666664,0.017863125,6.531916666666668,1.851695833333333,4.253041666666666,4.813866666666667,0.9529875,0.284264125,0.5496225041666667,0.5975278333333331
2015-11-21 01:00:00,23.13907916666667,0.10776291666666664,0.017863125,6.531916666666668,1.851695833333333,4.253041666666666,4.813866666666667,0.9529875,0.284264125,0.5496225041666667,0.5975278333333331
2015-11-21 02:00:00,23.13907916666667,0.10776291666666664,0.017863125,6.531916666666668,1.851695833333333,4.253041666666666,4.813866666666667,0.9529875,0.284264125,0.5496225041666667,0.5975278333333331
2015-11-21 03:00:00,23.13907916666667,0.10776291666666664,0.017863125,6.531916666666668,1.851695833333333,4.253041666666666,4.813866666666667,0.9529875,0.284264125,0.5496225041666667,0.5975278333333331
2015-11-21 04:00:00,23.13907916666667,0.10776291666666664,0.017863125,6.531916666666668,1.851695833333333,4.253041666666666,4.813866666666667,0.9529875,0.284264125,0.5496225041666667,0.5975278333333331
2015-11-21 05:00:00,23.13907916666667,0.10776291666666664,0.017863125,6.531916666666668,1.851695833333333,4.253041666666666,4.813866666666667,0.9529875,0.284264125,0.5496225041666667,0.5975278333333331
2015-11-21 06:00:00,23.13907916666667,0.10776291666666664,0.017863125,6.531916666666668,1.851695833333333,4.253041666666666,4.813866666666667,0.9529875,0.284264125,0.5496225041666667,0.5975278333333331
2015-11-21 07:00:00,23.13907916666667,0.10776291666666664,0.017863125,6.531916666666668,1.851695833333333,4.253041666666666,4.813866666666667,0.9529875,0.284264125,0.5496225041666667,0.5975278333333331
2015-11-21 08:00:00,23.13907916666667,0.10776291666666664,0.017863125,6.531916666666668,1.851695833333333,4.253041666666666,4.813866666666667,0.9529875,0.284264125,0.5496225041666667,0.5975278333333331
2015-11-21 09:00:00,23.13907916666667,0.10776291666666664,0.017863125,6.531916666666668,1.851695833333333,4.253041666666666,4.813866666666667,0.9529875,0.284264125,0.5496225041666667,0.5975278333333331
2015-11-21 10:00:00,23.13907916666667,0.10776291666666664,0.017863125,6.531916666666668,1.851695833333333,4.253041666666666,4.813866666666667,0.9529875,0.284264125,0.5496225041666667,0.5975278333333331
2015-11-21 11:00:00,23.13907916666667,0.10776291666666664,0.017863125,6.531916666666668,1.851695833333333,4.253041666666666,4.813866666666667,0.9529875,0.284264125,0.5496225041666667,0.5975278333333331
2015-11-21 12:00:00,23.13907916666667,0.10776291666666664,0.017863125,6.531916666666668,1.851695833333333,4.253041666666666,4.813866666666667,0.9529875,0.284264125,0.5496225041666667,0.5975278333333331
2015-11-21 13:00:00,23.13907916666667,0.10776291666666664,0.017863125,6.531916666666668,1.851695833333333,4.253041666666666,4.813866666666667,0.9529875,0.284264125,0.5496225041666667,0.5975278333333331
